sale_id,customer_id,product_id,quantity,price,sale_date
1,C101,P001,2,500,2026-07-26
2,C102,P002,-1,800,2026-07-26
3,,P003,3,250,2026-07-26
1,C101,P004,2,1500,2026-07-26
5,C105,P005,0,1200,2026-07-26
6,C106,P006,5,-100,2026-07-26
7,C107,P007,3,999,2026-13-01
8,C108,,4,450,2026-07-26
9,C109,P009,2,abc,2026-07-26
10,C110,P010,1,650,
11,C111,P011,10,200,2026-07-26
12,C112,P012,2,350,2026-07-27
13,C113,P013,1,999.99,2026-07-27
14,C114,P014,6,150,2026-07-27
15,C115,P015,2,750,2026-07-27
16,C116,P016,-5,1000,2026-07-27
17,,P017,3,450,2026-07-27
18,C118,P018,2,,2026-07-27
19,C119,P019,4,550,invalid_date
20,C120,P020,8,300,2026-07-27
